ID,NAME,CATEGORY,CHECK-IN,LAT,LONG
56004cce498ecbc155414db6,The CríÈpe Coffee Shop,Coffee Shop,103,24.73655853,46.57452151
557eec98498e12f1467e576c,PAISANO'S CAFíŠ |  øÂø_™_ø_ø_™Ê™š ™€ø_™™_™ˆ,Coffee Shop,85,24.73714061,46.57454975
4efef727490182a1a6d3887b,McDonald's ™ƒø_™€ø¿™š™Êø_™‹ø¿ø_,Restaurant,3240,24.72354971,46.6013731
4f69ee04e4b0656e874897dd,ø‡™‹ø_ø© ø_™‹øÂø¿™_ø_ø©,Park,857,24.61300979,46.67140873
4f713ceee4b022ab214c0915,ø_™_ ø_™‹ø±™™_ø_ø©,Trail,1968,24.64535535,46.66435972
4eee25c57ee5f4538830f7e2,Zara | ø_ø_ø±ø_,Shop,3018,24.7024065,46.68033103
4eee25c57ee5f4538830f7e2,H&M,Shop,2124,24.70245428,46.68051497
4eee25c57ee5f4538830f7e2,American Eagle Outfitters,Shop,1989,24.70228901,46.68070833
4b713499f964a5207c3c2de3,Pizza Roma | øÂ™_øÈø_ø_ ø±™š™ƒø_,Pizza Place,9573,24.70089302,46.69216073
4e844af9d3e35a80a8e7ac53,Fitness Time | ™š™‰øÈ ø_™‹™‹™_ø_™‰ø©,Gym,11541,24.74318065,46.62107378
54cce87a498e1f968efc1e8d,Mooyah | ™ƒ™š™š™_ø_,Resraurant,2715,24.79640285,46.65481332
4bbf8fdb74a9a593c6aacef6,Dunkin' Donuts | ø¿ø_™Ê™€™Ê ø¿™š™ÊøÈø_,Supermarket,9520,24.74541737,46.62025414
4bbf8fdb74a9a593c6aacef6,Subway | øµøÂ ™šø_™_,Supermarket,2907,24.74547442,46.62020703
4e8ab3a3b803fd0aa06a131e,Kudu | ™€™šø¿™š,Restaurant,1286,24.74465831,46.62104081
4cebe55ce1eeb60c48dbb5ae,Aramex (Shop and Ship) ø£ø±ø_™ƒ™€ø_,Shipping Store,2933,24.79418691,46.65637111
5203e924498e3cff7919c1fc,Primi | øÂø±™_™ƒ™_,Restaurant,3763,24.78057843,46.66275501
4e6a5492a809290267f633c6,Sushi Yoshi,Restaurant,5677,24.78107982,46.66273788
4e6a5492a809290267f633c6,Beard Papa's | øÂ™_ø±ø¿ øÂø_øÂø_ø_,Restaurant,602,24.78005727,46.66304433
55d63d73498eeae64dff98b8,Highway 5 | ™ˆø_™_ ™š™_ 5,Resraurant,1035,24.78134072,46.66257287
51d3194d498ef335e1bdc07f,Baskin Robbins Cafe | øÂø_ø_™€™Ê ø±™šøÂ™Êø_ ™€ø_™™_™ˆ,Ice Cream Shop,579,24.77242564,46.67267718
4ea3a50430f8b9d5acdf2dfb,Dunkin' Donuts | ø¿ø_™Ê™€™Ê ø¿™š™ÊøÈø_,Donut Shop,3943,24.77250518,46.67327605
5106827fe4b0ad7f444202ad,Puffy Cake,Cupcake Shop,583,24.73508748,46.64845007
4f1eb45ee4b0293a86501bdc,™ƒøå™ƒø_ ø±™€ø_ | Raka Plaza,Plaza,4489,24.71384433,46.63361977
