ID,X,Y,DATA1,DATA2,DATA3,ISZONE
10885,688547.8750000000,2743586.5000000000,0.0000000000,0.0000000000,0.0000000000,0
10886,690462.1250000000,2746533.7500000000,0.0000000000,0.0000000000,0.0000000000,0
10887,688530.0625000000,2743574.7500000000,0.0000000000,0.0000000000,0.0000000000,0
10880,693103.5000000000,2745750.0000000000,0.0000000000,0.0000000000,0.0000000000,0
10881,691053.1875000000,2743730.5000000000,0.0000000000,0.0000000000,0.0000000000,0
10882,692241.0625000000,2745375.2500000000,0.0000000000,0.0000000000,0.0000000000,0
10883,691434.2500000000,2743206.2500000000,0.0000000000,0.0000000000,0.0000000000,0
10888,690483.0000000000,2746551.7500000000,0.0000000000,0.0000000000,0.0000000000,0
10889,690458.1875000000,2746514.2500000000,0.0000000000,0.0000000000,0.0000000000,0
20692,682085.9922660000,2731529.2245930000,0.0000000000,0.0000000000,0.0000000000,0
15555,683310.3750000000,2743308.5000000000,0.0000000000,0.0000000000,0.0000000000,0
15554,683807.5000000000,2743657.2500000000,0.0000000000,0.0000000000,0.0000000000,0
15557,681462.3125000000,2741957.5000000000,0.0000000000,0.0000000000,0.0000000000,0
15556,681365.5000000000,2741891.0000000000,0.0000000000,0.0000000000,0.0000000000,0
15551,681214.5000000000,2742199.7500000000,0.0000000000,0.0000000000,0.0000000000,0
15550,680820.3750000000,2743025.7500000000,0.0000000000,0.0000000000,0.0000000000,0
15553,681333.8750000000,2741932.7500000000,0.0000000000,0.0000000000,0.0000000000,0
15552,681342.3125000000,2741938.5000000000,0.0000000000,0.0000000000,0.0000000000,0
393,680077.0000000000,2721806.5000000000,0.0000000000,0.0000000000,0.0000000000,1
392,677516.1875000000,2720776.5000000000,0.0000000000,0.0000000000,0.0000000000,1
391,678237.0000000000,2715916.0000000000,0.0000000000,0.0000000000,0.0000000000,1
390,676425.8125000000,2719716.0000000000,0.0000000000,0.0000000000,0.0000000000,1
397,682835.6250000000,2718654.5000000000,0.0000000000,0.0000000000,0.0000000000,1
396,680716.0000000000,2717577.0000000000,0.0000000000,0.0000000000,0.0000000000,1
395,681535.0000000000,2720294.0000000000,0.0000000000,0.0000000000,0.0000000000,1
394,679521.3750000000,2719548.2500000000,0.0000000000,0.0000000000,0.0000000000,1
399,684813.0000000000,2709547.0000000000,0.0000000000,0.0000000000,0.0000000000,1
398,680257.0000000000,2713271.0000000000,0.0000000000,0.0000000000,0.0000000000,1
13618,669768.8750000000,2738407.2500000000,0.0000000000,0.0000000000,0.0000000000,0
13619,669276.6875000000,2738075.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13614,666427.5625000000,2738371.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13615,660226.8750000000,2738214.5000000000,0.0000000000,0.0000000000,0.0000000000,0
13616,660193.0625000000,2738376.2500000000,0.0000000000,0.0000000000,0.0000000000,0
13617,669727.8750000000,2738385.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13610,684033.6250000000,2738538.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13611,683533.3125000000,2738191.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13612,667188.3750000000,2738368.2500000000,0.0000000000,0.0000000000,0.0000000000,0
13613,666012.0000000000,2738174.5000000000,0.0000000000,0.0000000000,0.0000000000,0
11289,670082.6250000000,2720348.0000000000,0.0000000000,0.0000000000,0.0000000000,0
11288,674696.5000000000,2720358.2500000000,0.0000000000,0.0000000000,0.0000000000,0
16066,673800.8125000000,2725251.0000000000,0.0000000000,0.0000000000,0.0000000000,0
16067,673882.7500000000,2725057.7500000000,0.0000000000,0.0000000000,0.0000000000,0
16060,673890.1875000000,2725662.5000000000,0.0000000000,0.0000000000,0.0000000000,0
16061,674044.8125000000,2724844.2500000000,0.0000000000,0.0000000000,0.0000000000,0
16062,673831.5000000000,2725514.0000000000,0.0000000000,0.0000000000,0.0000000000,0
16063,673798.2500000000,2725344.0000000000,0.0000000000,0.0000000000,0.0000000000,0
11281,674053.3750000000,2720193.0000000000,0.0000000000,0.0000000000,0.0000000000,0
11280,672144.8750000000,2720187.0000000000,0.0000000000,0.0000000000,0.0000000000,0
11283,674296.3750000000,2720210.0000000000,0.0000000000,0.0000000000,0.0000000000,0
11282,672606.7500000000,2720942.2500000000,0.0000000000,0.0000000000,0.0000000000,0
11285,673707.7500000000,2720233.2500000000,0.0000000000,0.0000000000,0.0000000000,0
11284,672702.2500000000,2720571.7500000000,0.0000000000,0.0000000000,0.0000000000,0
11287,674248.3125000000,2720276.5000000000,0.0000000000,0.0000000000,0.0000000000,0
11286,666334.7500000000,2720275.0000000000,0.0000000000,0.0000000000,0.0000000000,0
17621,674374.2500000000,2732111.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17620,674207.8750000000,2732066.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17623,675158.1250000000,2732287.7500000000,0.0000000000,0.0000000000,0.0000000000,0
17622,674251.5000000000,2732077.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17625,674419.8750000000,2732083.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17624,674417.5000000000,2732122.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17627,675174.5000000000,2732249.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17626,674377.3750000000,2732072.0000000000,0.0000000000,0.0000000000,0.0000000000,0
17629,673934.3750000000,2731970.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17628,674768.1250000000,2732160.2500000000,0.0000000000,0.0000000000,0.0000000000,0
13531,681157.7500000000,2737747.5000000000,0.0000000000,0.0000000000,0.0000000000,0
13530,660357.6250000000,2737707.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13533,670170.6875000000,2737490.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13532,670047.5000000000,2737749.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13535,671044.1250000000,2737768.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13534,676740.2500000000,2737764.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13537,677645.0000000000,2737781.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13536,671298.3125000000,2737245.2500000000,0.0000000000,0.0000000000,0.0000000000,0
13539,669993.2500000000,2737828.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13538,678827.2500000000,2737783.7500000000,0.0000000000,0.0000000000,0.0000000000,0
