TAZ,Saudi Male,Saudi Female,Total_Saudi,Non-Saudi Male,Non-Saudi Female,Total_Non_Saudi,Total Pop
217,112,76,188,480,312,792,980
218,217,149,366,583,380,963,1329
219,461,485,946,2186,1330,3516,4462
220,168,176,344,870,529,1399,1743
221,1187,1247,2434,6123,3728,9851,12285
222,3,3,6,17,11,28,34
223,430,451,881,2199,1338,3537,4418
224,656,690,1346,3360,2045,5405,6751
225,0,0,0,0,0,0,0
226,18,12,30,67,44,111,141
227,96,65,161,176,114,290,451
228,2,2,4,15,9,24,28
229,127,137,264,1057,550,1607,1871
230,73,78,151,259,135,394,545
231,101,109,210,618,322,940,1150
232,54,58,112,404,210,614,726
233,161,96,257,1331,1054,2385,2642
234,159,95,254,785,622,1407,1661
235,156,93,249,542,429,971,1220
236,876,796,1672,3710,2212,5922,7594
237,196,178,374,1295,773,2068,2442
238,343,311,654,3290,1962,5252,5906
239,161,146,307,1124,671,1795,2102
240,0,0,0,0,0,0,0
241,892,810,1702,2583,1541,4124,5826
242,129,117,246,323,192,515,761
243,157,142,299,1134,676,1810,2109
244,29,26,55,296,176,472,527
245,252,228,480,1376,820,2196,2676
246,244,221,465,771,460,1231,1696
247,584,531,1115,1801,1074,2875,3990
248,569,516,1085,1047,624,1671,2756
249,2403,2341,4744,2529,2391,4920,9664
250,1837,1789,3626,1919,1813,3732,7358
251,407,396,803,678,640,1318,2121
252,1434,1398,2832,2287,2162,4449,7281
253,352,342,694,325,308,633,1327
254,6,5,11,2,1,3,14
255,2316,2256,4572,2276,2150,4426,8998
256,238,242,480,438,319,757,1237
257,2329,2372,4701,1931,1406,3337,8038
258,259,263,522,427,311,738,1260
259,894,910,1804,1380,1005,2385,4189
260,254,258,512,526,383,909,1421
261,2220,2163,4383,1997,1887,3884,8267
262,2332,2272,4604,2135,2017,4152,8756
263,170,165,335,62,58,120,455
264,367,358,725,357,337,694,1419
265,205,160,365,116,120,236,601
266,946,816,1762,1556,667,2223,3985
267,169,132,301,154,159,313,614
268,9,8,17,54,23,77,94
269,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0
271,11,10,21,63,27,90,111
272,0,0,0,0,0,0,0
273,243,166,409,1253,816,2069,2478
274,32,22,54,2261,913,3174,3228
275,33,22,55,2910,1175,4085,4140
276,0,0,0,7,3,10,10
277,37,27,64,833,292,1125,1189
278,0,0,0,0,0,0,0
279,26,20,46,661,231,892,938
280,9,7,16,221,77,298,314
281,0,0,0,0,0,0,0
282,70,53,123,1695,593,2288,2411
283,7,6,13,173,60,233,246
284,1,0,1,6,5,11,12
285,58,31,89,706,166,872,961
286,28,15,43,524,367,891,934
287,393,210,603,6768,4729,11497,12100
288,87,47,134,1172,819,1991,2125
289,108,58,166,1947,1360,3307,3473
290,468,251,719,5660,1331,6991,7710
291,403,217,620,4967,1168,6135,6755
292,640,344,984,7902,1858,9760,10744
293,408,378,786,4914,801,5715,6501
294,292,271,563,3456,563,4019,4582
295,336,311,647,3966,647,4613,5260
296,305,282,587,3694,602,4296,4883
297,19,6,25,665,126,791,816
298,43,49,92,1247,408,1655,1747
299,36,15,51,1867,737,2604,2655
300,246,153,399,1647,811,2458,2857
301,289,228,517,1326,475,1801,2318
302,1312,1434,2746,7198,4414,11612,14358
303,307,241,548,1358,486,1844,2392
304,516,399,915,1604,386,1990,2905
305,517,407,924,2355,844,3199,4123
306,1087,857,1944,4892,1753,6645,8589
307,27,22,49,103,37,140,189
308,269,294,563,1500,919,2419,2982
309,2708,2097,4805,8654,2083,10737,15542
310,192,149,341,544,131,675,1016
311,1296,1418,2714,7302,4477,11779,14493
312,1288,1408,2696,7286,4467,11753,14449
313,314,310,624,1095,457,1552,2176
314,867,576,1443,1684,731,2415,3858
315,524,516,1040,2354,982,3336,4376
316,964,951,1915,4284,1786,6070,7985
317,433,426,859,1928,804,2732,3591
318,1404,1384,2788,6211,2589,8800,11588
319,6,3,9,91,27,118,127
320,155,67,222,1000,292,1292,1514
321,45,19,64,639,186,825,889
322,4,2,6,46,13,59,65
323,1220,1081,2301,3196,1474,4670,6971
324,142,61,203,2025,590,2615,2818
325,1170,1037,2207,7405,3415,10820,13027
326,1520,1346,2866,6954,3207,10161,13027
327,1047,928,1975,4362,2012,6374,8349
328,337,298,635,669,309,978,1613
329,1067,709,1776,2341,1016,3357,5133
330,23,15,38,32,14,46,84
331,2032,1350,3382,3687,1599,5286,8668
332,4212,2800,7012,8868,3847,12715,19727
333,773,730,1503,744,531,1275,2778
334,748,708,1456,944,674,1618,3074
335,470,403,873,2326,974,3300,4173
336,1310,1122,2432,6482,2713,9195,11627
337,1211,1146,2357,757,540,1297,3654
338,447,423,870,677,483,1160,2030
339,1604,1516,3120,2286,1632,3918,7038
340,833,713,1546,4034,1688,5722,7268
341,446,383,829,2085,872,2957,3786
342,2003,1958,3961,683,943,1626,5587
343,2637,2577,5214,1243,1713,2956,8170
344,260,246,506,130,112,242,748
345,6244,5923,12167,2477,2147,4624,16791
346,114,108,222,50,44,94,316
347,170,162,332,83,72,155,487
348,153,146,299,76,65,141,440
349,211,200,411,78,67,145,556
350,2690,2800,5490,1679,1724,3403,8893
351,3118,3246,6364,1636,1680,3316,9680
352,1420,1265,2685,662,621,1283,3968
353,2135,1902,4037,1928,1810,3738,7775
354,6437,5566,12003,1961,2635,4596,16599
355,1669,1444,3113,672,903,1575,4688
356,5865,5581,11446,2150,2082,4232,15678
357,1326,1262,2588,597,579,1176,3764
358,3752,3441,7193,1220,792,2012,9205
359,14455,13258,27713,4819,3128,7947,35660
360,1410,1294,2704,436,283,719,3423
361,11,11,22,18,12,30,52
362,13918,12765,26683,4813,3124,7937,34620
363,7055,5956,13011,2693,1195,3888,16899
364,8861,7481,16342,3100,1376,4476,20818
365,2860,2415,5275,2344,1041,3385,8660
366,1122,948,2070,267,118,385,2455
367,4820,3895,8715,0,183,183,8898
368,54027,50807,104834,6347,5237,11584,116418
369,12054,10815,22869,530,2240,2770,25639
370,5328,4474,9802,1360,950,2310,12112
371,3220,2459,5679,299,211,510,6189
372,1772,1353,3125,566,399,965,4090
373,134,121,255,99,421,520,775
374,18,0,18,1334,25,1359,1377
375,6,0,6,578,11,589,595
376,24,0,24,1959,37,1996,2020
377,0,0,0,29,1,30,30
378,7,0,7,521,0,521,528
379,19,0,19,1607,30,1637,1656
380,2387,2075,4462,263,0,263,4725
381,84,80,164,2,4,6,170
382,1858,1910,3768,288,176,464,4232
383,2255,1768,4023,251,236,487,4510
384,4759,3732,8491,1239,1168,2407,10898
